storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,mean_bus_weight_impacted,year,storm_name,rank
WP132018,0.28920714896047695,0.09472833878621287,0.0011600642174539651,7,1.4900468920347418,2018,UNNAMED,121
WP062016,0.28587774403468497,0.08069790436746249,0.0011426535120952002,8,1.4900468920347418,2016,NIDA,122
WP052009,0.27891661432957976,0.08427087409284162,0.0011118205472620648,7,1.4900468920347418,2009,SOUDELOR,123
WP042014,0.25149149878550486,0.08007905996558226,0.001050100552939832,40,1.4900468920347418,2014,UNNAMED,124
WP032011,0.245779122132924,0.03024393343343061,0.0009038882628864443,11,1.4900468920347418,2011,AERE,125
WP022014,0.2324740732248082,0.02792826898764806,0.0009616606797802767,29,1.4900468920347418,2014,KAJIKI,126
WP062001,0.22836692537478048,0.06059283010287024,0.0009118101573036318,6,1.4900468920347418,2001,UTOR,127
WP272003,0.22300968808007166,0.0627224885051333,0.0009507677095529979,15,1.4900468920347418,2003,UNNAMED,128
WP042015,0.2218832016537462,0.08396157177220677,0.000780963239959574,10,1.4900468920347418,2015,MAYSAK,129
WP012009,0.20126631208045473,0.07012829150056525,0.000763785641900551,9,1.4900468920347418,2009,KUJIRA,130
WP052023,0.19757958977392473,0.06556225162725969,0.0007889170274775686,6,1.4900468920347418,2023,DOKSURI,131
WP072000,0.18949336032774178,0.012147925459676606,0.0005334111401824623,34,1.4900468920347418,2000,UNNAMED,132
WP222003,0.184115162473611,0.023079688887055694,0.0007378083836160663,16,1.4900468920347418,2003,UNNAMED,133
WP242000,0.17450004944634248,0.06370945100563782,0.0006597619294415052,9,1.4900468920347418,2000,BOPHA,134
WP102005,0.1632863116637824,0.04959089451058335,0.0006491442373004362,7,1.4900468920347418,2005,SANVU,135
WP022013,0.14258051206011677,0.06319356492936316,0.0005927172801309964,4,1.4900468920347418,2013,SHANSHAN,136
WP012021,0.11097025641670087,0.036222609861934,0.00047612653175484735,12,1.4900468920347418,2021,DUJUAN,137
WP242020,0.10898341743319463,0.014818165664583303,0.00041875282062069286,25,1.4900468920347418,2020,ETAU,138
WP142011,0.10594008348608597,0.04301621666954847,0.00041015525688807607,5,1.4900468920347418,2011,NANMADOL,139
WP162005,0.10248884604326515,0.009923683372422441,0.00035304635877255543,20,1.4900468920347418,2005,VICENTE,140
WP162007,0.09947092715647066,0.015067754638294668,0.0003614758509423291,20,1.4900468920347418,2007,LEKIMA,141
WP082021,0.0967057427815083,0.008438541158059799,0.0002940788138876865,27,1.4900468920347418,2021,UNNAMED,142
WP012002,0.09246847852829507,0.022466268328473284,0.0003427459710046868,9,1.4900468920347418,2002,TAPAH,143
WP172005,0.09142461868388876,0.030168440741832444,0.00036382737111437827,6,1.4900468920347418,2005,DAMREY,144
WP132020,0.08402309586516776,0.008408259901315364,0.0003045934161195794,23,1.4900468920347418,2020,NOUL,145
WP022000,0.07402424283731843,0.03644420823431145,0.00029310390428287516,12,1.4900468920347418,2000,LONGWANG,146
WP062015,0.06773933789229417,0.03691827608914999,0.0002569642393582366,2,1.4900468920347418,2015,NOUL,147
WP182008,0.06385512830809945,0.02195070257505107,0.00025288507853853413,4,1.4900468920347418,2008,HAGUPIT,148
WP272009,0.06277159665484733,0.021069361514297443,0.0002684315360398629,6,1.4900468920347418,2009,UNNAMED,149
WP182020,0.0611854522527048,0.007776544288143431,0.00023653389426832482,17,1.4900468920347418,2020,NANGKA,150
WP262008,0.05938595414064802,0.018755669041955095,0.0002540816433766724,4,1.4900468920347418,2008,NOUL,151
WP232022,0.05884085568456611,0.0181472266796385,0.00023335556677197392,4,1.4900468920347418,2022,NESAT,152
WP072004,0.05336788428911812,0.005558318113778249,0.00021608699486551385,11,1.4900468920347418,2004,CONSON,153
WP182023,0.048889849771641763,0.02979254132665989,0.0002533329162613914,3,1.4900468920347418,2023,JELAWAT,154
WP082013,0.04526210647186106,0.01479221616758763,0.00017487376764293647,6,1.4900468920347418,2013,CIMARON,155
WP102000,0.0421893951395689,0.02494049448406141,0.00016375629046632193,4,1.4900468920347418,2000,BOLAVEN,156
WP162009,0.037558106571061865,0.009440732726704237,0.00015067122292779304,5,1.4900468920347418,2009,KOPPU,157
WP242009,0.03694276737688173,0.009345161304913736,0.00013621701875912202,6,1.4900468920347418,2009,UNNAMED,158
WP112018,0.03583986885723024,0.0113884733218639,0.00014207174404520751,5,1.4900468920347418,2018,SON-TINH,159
WP162019,0.029257181513904426,0.007235961092248983,0.00011928866108803532,6,1.4900468920347418,2019,KAJIKI,160
WP012019,0.028282311920741484,0.006954776959231723,0.00012180560852864307,10,1.4900468920347418,2019,UNNAMED,161
WP012008,0.026151436174981404,0.006443831350615874,0.0001033180184354704,10,1.4900468920347418,2008,UNNAMED,162
