storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r,rank_index
WP042020,SINLAKU,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,148
WP032020,HAGUPIT,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,149
WP022020,NURI,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,150
WP012020,VONGFONG,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,151
WP282019,FUNG-WONG,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,152
WP272019,KALMAEGI,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,153
WP252019,NAKRI,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,154
WP042019,UNNAMED,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,155
WP212019,NEOGURI,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,156
WP192019,MITAG,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,157
WP162019,KAJIKI,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,158
WP152019,LINGLING,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,159
WP132019,PODUL,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,160
WP122019,BAILU,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,161
WP102019,LEKIMA,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,162
WP082019,WIPHA,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,163
WP062019,DANAS,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,164
WP232019,BULBUL:MATMO,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,165
WP042004,NIDA,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,166
WP022004,UNNAMED,2004,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,167
WP272003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,168
WP252003,NEPARTAK,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,169
WP242003,MELOR,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,170
WP222003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,171
WP182003,UNNAMED,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,172
WP162003,CHOI-WAN,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,173
WP142012,KAI-TAK,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,174
WP132003,VAMCO,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,175
WP122003,KROVANH,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,176
WP102003,MORAKOT,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,177
WP092003,IMBUDO,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,178
WP082003,KONI,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,179
WP072003,SOUDELOR,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,180
WP062003,NANGKA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,181
WP052003,LINFA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,182
WP022003,KUJIRA,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,183
WP142003,DUJUAN,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,184
WP022006,CHANCHU,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,185
WP252005,UNNAMED,2005,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,186
