storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP072006,PRAPIROON,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,133,90,0.0,0.0,0.0,0.0,90
WP102006,BOPHA,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,91,0.0,0.0,0.0,0.0,91
WP122006,SONAMU,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,92,0.0,0.0,0.0,0.0,92
WP142006,SHANSHAN,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,93,0.0,0.0,0.0,0.0,93
WP222006,CIMARON,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,133,94,0.0,0.0,0.0,0.0,94
WP232006,CHEBI,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,95,0.0,0.0,0.0,0.0,95
WP252006,UTOR,2006,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,133,96,0.0,0.0,0.0,0.0,96
WP072007,PABUK,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,133,97,0.0,0.0,0.0,0.0,97
WP082007,WUTIP,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,98,0.0,0.0,0.0,0.0,98
WP092007,SEPAT,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,99,0.0,0.0,0.0,0.0,99
WP152007,FRANCISCO,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,100,0.0,0.0,0.0,0.0,100
WP162007,LEKIMA,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,133,101,0.0,0.0,0.0,0.0,101
WP172007,KROSA,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,102,0.0,0.0,0.0,0.0,102
WP212007,PEIPAH,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,133,103,0.0,0.0,0.0,0.0,103
WP232007,HAGIBIS,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,133,104,0.0,0.0,0.0,0.0,104
WP242007,MITAG,2007,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,133,105,0.0,0.0,0.0,0.0,105
WP012008,UNNAMED,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,133,106,0.0,0.0,0.0,0.0,106
WP022008,NEOGURI,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,107,0.0,0.0,0.0,0.0,107
WP042008,MATMO,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,108,0.0,0.0,0.0,0.0,108
WP052008,HALONG,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,133,109,0.0,0.0,0.0,0.0,109
WP072008,FENGSHEN,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,133,110,0.0,0.0,0.0,0.0,110
WP082008,KALMAEGI,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,133,111,0.0,0.0,0.0,0.0,111
WP092008,FUNG-WONG,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,112,0.0,0.0,0.0,0.0,112
WP102008,KAMMURI,2008,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,113,0.0,0.0,0.0,0.0,113
