storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components_after_failure,n_generator_buses_considered,rank
WP172020,LINFA,2020,0,0.0,0,0.0,0.0,0.0,1,133,285
WP182020,NANGKA,2020,0,0.0,0,0.0,0.0,0.0,1,133,286
WP192020,SAUDEL,2020,0,0.0,0,0.0,0.0,0.0,1,133,287
WP212020,MOLAVE,2020,0,0.0,0,0.0,0.0,0.0,1,133,288
WP232020,ATSANI,2020,0,0.0,0,0.0,0.0,0.0,1,133,289
WP242020,ETAU,2020,0,0.0,0,0.0,0.0,0.0,1,133,290
WP252020,VAMCO,2020,0,0.0,0,0.0,0.0,0.0,1,133,291
WP262020,KROVANH,2020,0,0.0,0,0.0,0.0,0.0,1,133,292
WP012021,DUJUAN,2021,0,0.0,0,0.0,0.0,0.0,1,133,293
WP022021,SURIGAE,2021,0,0.0,0,0.0,0.0,0.0,1,133,294
WP032021,UNNAMED,2021,0,0.0,0,0.0,0.0,0.0,1,133,295
WP042021,CHOI-WAN,2021,0,0.0,0,0.0,0.0,0.0,1,133,296
WP072021,UNNAMED,2021,0,0.0,0,0.0,0.0,0.0,1,133,297
WP082021,UNNAMED,2021,0,0.0,0,0.0,0.0,0.0,1,133,298
WP132021,LUPIT,2021,0,0.0,0,0.0,0.0,0.0,1,133,299
WP182021,CONSON,2021,0,0.0,0,0.0,0.0,0.0,1,133,300
WP192021,CHANTHU,2021,0,0.0,0,0.0,0.0,0.0,1,133,301
WP212021,DIANMU,2021,0,0.0,0,0.0,0.0,0.0,1,133,302
WP222021,LIONROCK,2021,0,0.0,0,0.0,0.0,0.0,1,133,303
WP242021,KOMPASU,2021,0,0.0,0,0.0,0.0,0.0,1,133,304
WP262021,UNNAMED,2021,0,0.0,0,0.0,0.0,0.0,1,133,305
WP282021,RAI,2021,0,0.0,0,0.0,0.0,0.0,1,133,306
WP032022,MEGI,2022,0,0.0,0,0.0,0.0,0.0,1,133,307
WP102022,MA-ON,2022,0,0.0,0,0.0,0.0,0.0,1,133,308
WP122022,HINNAMNOR,2022,0,0.0,0,0.0,0.0,0.0,1,133,309
WP142022,MUIFA,2022,0,0.0,0,0.0,0.0,0.0,1,133,310
WP182022,NORU,2022,0,0.0,0,0.0,0.0,0.0,1,133,311
WP232022,NESAT,2022,0,0.0,0,0.0,0.0,0.0,1,133,312
WP252022,UNNAMED,2022,0,0.0,0,0.0,0.0,0.0,1,133,313
WP262022,NALGAE,2022,0,0.0,0,0.0,0.0,0.0,1,133,314
WP292022,PAKHAR,2022,0,0.0,0,0.0,0.0,0.0,1,133,315
WP022023,MAWAR,2023,0,0.0,0,0.0,0.0,0.0,1,133,316
WP042023,TALIM,2023,0,0.0,0,0.0,0.0,0.0,1,133,317
WP052023,DOKSURI,2023,0,0.0,0,0.0,0.0,0.0,1,133,318
WP092023,SAOLA,2023,0,0.0,0,0.0,0.0,0.0,1,133,319
WP102023,HAIKUI,2023,0,0.0,0,0.0,0.0,0.0,1,133,320
WP142023,KOINU,2023,0,0.0,0,0.0,0.0,0.0,1,133,321
WP182023,JELAWAT,2023,0,0.0,0,0.0,0.0,0.0,1,133,322
WP012024,EWINIAR,2024,0,0.0,0,0.0,0.0,0.0,1,133,323
