storm_id,storm_name,year,rank,impact_score,impact_land_only,impact_sea_only,land_share_of_split
WP012014,LINGLING,2014,192,0.0,0.0,0.0,
WP012012,UNNAMED,2012,193,0.0,0.0,0.0,
WP022003,KUJIRA,2003,194,0.0,0.0,0.0,
WP092008,FUNG-WONG,2008,195,0.0,0.0,0.0,
WP162015,GONI,2015,196,0.0,0.0,0.0,
WP162010,CHABA,2010,197,0.0,0.0,0.0,
WP162002,KAMMURI,2002,198,0.0,0.0,0.0,
WP162003,CHOI-WAN,2003,199,0.0,0.0,0.0,
WP152019,LINGLING,2019,200,0.0,0.0,0.0,
WP152012,TEMBIN,2012,201,0.0,0.0,0.0,
WP152016,NAMTHEUN,2016,202,0.0,0.0,0.0,
WP152017,HATO,2017,203,0.0,0.0,0.0,
WP152007,FRANCISCO,2007,204,0.0,0.0,0.0,
WP142023,KOINU,2023,205,0.0,0.0,0.0,
WP142022,MUIFA,2022,206,0.0,0.0,0.0,
WP152008,SINLAKU,2008,207,0.0,0.0,0.0,
WP142014,UNNAMED,2014,208,0.0,0.0,0.0,
WP142003,DUJUAN,2003,209,0.0,0.0,0.0,
WP132021,LUPIT,2021,210,0.0,0.0,0.0,
WP142013,KONG-REY,2013,211,0.0,0.0,0.0,
WP122022,HINNAMNOR,2022,212,0.0,0.0,0.0,
WP132001,USAGI,2001,213,0.0,0.0,0.0,
WP122019,BAILU,2019,214,0.0,0.0,0.0,
WP142006,SHANSHAN,2006,215,0.0,0.0,0.0,
WP132003,VAMCO,2003,216,0.0,0.0,0.0,
WP132005,TALIM,2005,217,0.0,0.0,0.0,
WP132014,FENGSHEN,2014,218,0.0,0.0,0.0,
WP132015,SOUDELOR,2015,219,0.0,0.0,0.0,
WP112010,MERANTI,2010,220,0.0,0.0,0.0,
WP112017,NESAT,2017,221,0.0,0.0,0.0,
WP122004,KOMPASU,2004,222,0.0,0.0,0.0,
WP122006,SONAMU,2006,223,0.0,0.0,0.0,
WP122010,FANAPI,2010,224,0.0,0.0,0.0,
WP122013,TRAMI,2013,225,0.0,0.0,0.0,
WP122015,UNNAMED,2015,226,0.0,0.0,0.0,
WP122017,HAITANG,2017,227,0.0,0.0,0.0,
WP092005,MATSA,2005,228,0.0,0.0,0.0,
WP102008,KAMMURI,2008,229,0.0,0.0,0.0,
WP102006,BOPHA,2006,230,0.0,0.0,0.0,
WP102003,MORAKOT,2003,231,0.0,0.0,0.0,
WP102001,YUTU,2001,232,0.0,0.0,0.0,
WP092007,SEPAT,2007,233,0.0,0.0,0.0,
WP192017,GUCHOL,2017,234,0.0,0.0,0.0,
WP192008,JANGMI,2008,235,0.0,0.0,0.0,
WP202016,MEGI,2016,236,0.0,0.0,0.0,
WP212000,MARIA,2000,237,0.0,0.0,0.0,
WP192000,KAEMI,2000,238,0.0,0.0,0.0,
WP182017,MAWAR,2017,239,0.0,0.0,0.0,
WP182012,JELAWAT,2012,240,0.0,0.0,0.0,
WP182016,MALAKAS,2016,241,0.0,0.0,0.0,
WP182001,FITOW,2001,242,0.0,0.0,0.0,
WP202013,WUTIP,2013,243,0.0,0.0,0.0,
WP082018,GAEMI,2018,244,0.0,0.0,0.0,
WP082019,WIPHA,2019,245,0.0,0.0,0.0,
WP082014,NEOGURI,2014,246,0.0,0.0,0.0,
WP082017,SONCA,2017,247,0.0,0.0,0.0,
WP172020,LINFA,2020,248,0.0,0.0,0.0,
WP182000,BILIS,2000,249,0.0,0.0,0.0,
WP172013,USAGI,2013,250,0.0,0.0,0.0,
WP172007,KROSA,2007,251,0.0,0.0,0.0,
WP182003,UNNAMED,2003,252,0.0,0.0,0.0,
WP082007,WUTIP,2007,253,0.0,0.0,0.0,
WP072021,UNNAMED,2021,254,0.0,0.0,0.0,
WP072020,MEKKHALA,2020,255,0.0,0.0,0.0,
WP082008,KALMAEGI,2008,256,0.0,0.0,0.0,
WP162016,MERANTI,2016,257,0.0,0.0,0.0,
WP072014,HAGIBIS,2014,258,0.0,0.0,0.0,
WP072018,UNNAMED,2018,259,0.0,0.0,0.0,
WP232020,ATSANI,2020,260,0.0,0.0,0.0,
WP232019,BULBUL:MATMO,2019,261,0.0,0.0,0.0,
WP222017,UNNAMED,2017,262,0.0,0.0,0.0,
WP232000,WUKONG,2000,263,0.0,0.0,0.0,
WP222016,AERE,2016,264,0.0,0.0,0.0,
WP222009,LUPIT,2009,265,0.0,0.0,0.0,
WP212021,DIANMU,2021,266,0.0,0.0,0.0,
WP222005,KAI-TAK,2005,267,0.0,0.0,0.0,
WP072010,LIONROCK,2010,268,0.0,0.0,0.0,
WP072011,MEARI,2011,269,0.0,0.0,0.0,
WP212019,NEOGURI,2019,270,0.0,0.0,0.0,
WP212012,GAEMI,2012,271,0.0,0.0,0.0,
WP072009,MOLAVE,2009,272,0.0,0.0,0.0,
WP072002,NOGURI,2002,273,0.0,0.0,0.0,
WP072003,SOUDELOR,2003,274,0.0,0.0,0.0,
WP072007,PABUK,2007,275,0.0,0.0,0.0,
WP192021,CHANTHU,2021,276,0.0,0.0,0.0,
WP192019,MITAG,2019,277,0.0,0.0,0.0,
WP202004,AERE,2004,278,0.0,0.0,0.0,
WP072001,TRAMI,2001,279,0.0,0.0,0.0,
WP062018,MALIKSI,2018,280,0.0,0.0,0.0,
WP062019,DANAS,2019,281,0.0,0.0,0.0,
WP062002,UNNAMED,2002,282,0.0,0.0,0.0,
WP062006,KAEMI,2006,283,0.0,0.0,0.0,
WP062012,TALIM,2012,284,0.0,0.0,0.0,
WP062010,MINDULLE,2010,285,0.0,0.0,0.0,
WP062009,UNNAMED,2009,286,0.0,0.0,0.0,
WP052017,NANMADOL,2017,287,0.0,0.0,0.0,
WP052020,JANGMI,2020,288,0.0,0.0,0.0,
WP052013,BEBINCA,2013,289,0.0,0.0,0.0,
WP052012,GUCHOL,2012,290,0.0,0.0,0.0,
WP052010,DIANMU,2010,291,0.0,0.0,0.0,
WP252019,NAKRI,2019,292,0.0,0.0,0.0,
WP052006,BILIS,2006,293,0.0,0.0,0.0,
WP052005,HAITANG,2005,294,0.0,0.0,0.0,
WP052001,DURIAN,2001,295,0.0,0.0,0.0,
WP042017,MERBOK,2017,296,0.0,0.0,0.0,
WP042019,UNNAMED,2019,297,0.0,0.0,0.0,
WP042013,LEEPI,2013,298,0.0,0.0,0.0,
WP042012,MAWAR,2012,299,0.0,0.0,0.0,
WP252012,UNNAMED,2012,300,0.0,0.0,0.0,
WP042011,SONGDA,2011,301,0.0,0.0,0.0,
WP062003,NANGKA,2003,302,0.0,0.0,0.0,
WP032015,BAVI,2015,303,0.0,0.0,0.0,
WP262011,UNNAMED,2011,304,0.0,0.0,0.0,
WP252022,UNNAMED,2022,305,0.0,0.0,0.0,
WP032020,HAGUPIT,2020,306,0.0,0.0,0.0,
WP262017,UNNAMED,2017,307,0.0,0.0,0.0,
WP042008,MATMO,2008,308,0.0,0.0,0.0,
WP042006,EWINIAR,2006,309,0.0,0.0,0.0,
WP042001,CHEBI,2001,310,0.0,0.0,0.0,
WP042000,UNNAMED,2000,311,0.0,0.0,0.0,
WP022017,UNNAMED,2017,312,0.0,0.0,0.0,
WP022021,SURIGAE,2021,313,0.0,0.0,0.0,
WP022023,MAWAR,2023,314,0.0,0.0,0.0,
WP022016,NEPARTAK,2016,315,0.0,0.0,0.0,
WP272018,BARIJAT,2018,316,0.0,0.0,0.0,
WP282001,UNNAMED,2001,317,0.0,0.0,0.0,
WP282004,NOCK-TEN,2004,318,0.0,0.0,0.0,
WP282019,FUNG-WONG,2019,319,0.0,0.0,0.0,
WP292001,UNNAMED,2001,320,0.0,0.0,0.0,
WP292022,PAKHAR,2022,321,0.0,0.0,0.0,
WP342000,SOULIK,2000,322,0.0,0.0,0.0,
WP352018,UNNAMED,2018,323,0.0,0.0,0.0,
