storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP092005,MATSA,2005,0,0.0,0,0.0,0.0,1,118
WP092007,SEPAT,2007,0,0.0,0,0.0,0.0,1,119
WP092008,FUNG-WONG,2008,0,0.0,0,0.0,0.0,1,120
WP092012,VICENTE,2012,0,0.0,0,0.0,0.0,1,121
WP092013,JEBI,2013,0,0.0,0,0.0,0.0,1,122
WP092014,RAMMASUN,2014,0,0.0,0,0.0,0.0,1,123
WP092020,BAVI,2020,0,0.0,0,0.0,0.0,1,124
WP092023,SAOLA,2023,0,0.0,0,0.0,0.0,1,125
WP102000,BOLAVEN,2000,0,0.0,0,0.0,0.0,1,126
WP102001,YUTU,2001,0,0.0,0,0.0,0.0,1,127
WP102003,MORAKOT,2003,0,0.0,0,0.0,0.0,1,128
WP102004,MINDULLE,2004,0,0.0,0,0.0,0.0,1,129
WP102005,SANVU,2005,0,0.0,0,0.0,0.0,1,130
WP102006,BOPHA,2006,0,0.0,0,0.0,0.0,1,131
WP102008,KAMMURI,2008,0,0.0,0,0.0,0.0,1,132
WP102011,NOCK-TEN,2011,0,0.0,0,0.0,0.0,1,133
WP102012,SAOLA,2012,0,0.0,0,0.0,0.0,1,134
WP102013,MANGKHUT,2013,0,0.0,0,0.0,0.0,1,135
WP102014,MATMO,2014,0,0.0,0,0.0,0.0,1,136
WP102015,LINFA,2015,0,0.0,0,0.0,0.0,1,137
WP102017,ROKE,2017,0,0.0,0,0.0,0.0,1,138
WP102019,LEKIMA,2019,0,0.0,0,0.0,0.0,1,139
WP102022,MA-ON,2022,0,0.0,0,0.0,0.0,1,140
WP102023,HAIKUI,2023,0,0.0,0,0.0,0.0,1,141
WP112001,TORAJI,2001,0,0.0,0,0.0,0.0,1,142
WP112002,NAKRI,2002,0,0.0,0,0.0,0.0,1,143
WP112010,MERANTI,2010,0,0.0,0,0.0,0.0,1,144
WP112013,UTOR,2013,0,0.0,0,0.0,0.0,1,145
WP112017,NESAT,2017,0,0.0,0,0.0,0.0,1,146
WP112018,SON-TINH,2018,0,0.0,0,0.0,0.0,1,147
WP122003,KROVANH,2003,0,0.0,0,0.0,0.0,1,148
WP122004,KOMPASU,2004,0,0.0,0,0.0,0.0,1,149
WP122006,SONAMU,2006,0,0.0,0,0.0,0.0,1,150
WP122010,FANAPI,2010,0,0.0,0,0.0,0.0,1,151
WP122013,TRAMI,2013,0,0.0,0,0.0,0.0,1,152
WP122015,UNNAMED,2015,0,0.0,0,0.0,0.0,1,153
WP122017,HAITANG,2017,0,0.0,0,0.0,0.0,1,154
WP122019,BAILU,2019,0,0.0,0,0.0,0.0,1,155
WP122022,HINNAMNOR,2022,0,0.0,0,0.0,0.0,1,156
WP132001,USAGI,2001,0,0.0,0,0.0,0.0,1,157
WP132002,UNNAMED,2002,0,0.0,0,0.0,0.0,1,158
WP132003,VAMCO,2003,0,0.0,0,0.0,0.0,1,159
WP132005,TALIM,2005,0,0.0,0,0.0,0.0,1,160
WP132008,NURI,2008,0,0.0,0,0.0,0.0,1,161
WP132014,FENGSHEN,2014,0,0.0,0,0.0,0.0,1,162
WP132015,SOUDELOR,2015,0,0.0,0,0.0,0.0,1,163
WP132018,UNNAMED,2018,0,0.0,0,0.0,0.0,1,164
WP132019,PODUL,2019,0,0.0,0,0.0,0.0,1,165
WP132020,NOUL,2020,0,0.0,0,0.0,0.0,1,166
WP132021,LUPIT,2021,0,0.0,0,0.0,0.0,1,167
WP142003,DUJUAN,2003,0,0.0,0,0.0,0.0,1,168
WP142006,SHANSHAN,2006,0,0.0,0,0.0,0.0,1,169
WP142008,UNNAMED,2008,0,0.0,0,0.0,0.0,1,170
WP142009,MUJIGAE,2009,0,0.0,0,0.0,0.0,1,171
WP142011,NANMADOL,2011,0,0.0,0,0.0,0.0,1,172
WP142012,KAI-TAK,2012,0,0.0,0,0.0,0.0,1,173
WP142013,KONG-REY,2013,0,0.0,0,0.0,0.0,1,174
WP142014,UNNAMED,2014,0,0.0,0,0.0,0.0,1,175
WP142022,MUIFA,2022,0,0.0,0,0.0,0.0,1,176
WP142023,KOINU,2023,0,0.0,0,0.0,0.0,1,177
WP152007,FRANCISCO,2007,0,0.0,0,0.0,0.0,1,178
WP152008,SINLAKU,2008,0,0.0,0,0.0,0.0,1,179
WP152010,MEGI,2010,0,0.0,0,0.0,0.0,1,180
WP152012,TEMBIN,2012,0,0.0,0,0.0,0.0,1,181
WP152014,KALMAEGI,2014,0,0.0,0,0.0,0.0,1,182
WP152016,NAMTHEUN,2016,0,0.0,0,0.0,0.0,1,183
WP152017,HATO,2017,0,0.0,0,0.0,0.0,1,184
WP152019,LINGLING,2019,0,0.0,0,0.0,0.0,1,185
WP162002,KAMMURI,2002,0,0.0,0,0.0,0.0,1,186
