storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP102003,0.0,0.0,0.0,0,2003,MORAKOT
WP092007,0.0,0.0,0.0,0,2007,SEPAT
WP192008,0.0,0.0,0.0,0,2008,JANGMI
WP182016,0.0,0.0,0.0,0,2016,MALAKAS
WP192000,0.0,0.0,0.0,0,2000,KAEMI
WP212000,0.0,0.0,0.0,0,2000,MARIA
WP202016,0.0,0.0,0.0,0,2016,MEGI
WP202013,0.0,0.0,0.0,0,2013,WUTIP
WP182017,0.0,0.0,0.0,0,2017,MAWAR
WP182012,0.0,0.0,0.0,0,2012,JELAWAT
WP182000,0.0,0.0,0.0,0,2000,BILIS
WP182001,0.0,0.0,0.0,0,2001,FITOW
WP202004,0.0,0.0,0.0,0,2004,AERE
WP082019,0.0,0.0,0.0,0,2019,WIPHA
WP082018,0.0,0.0,0.0,0,2018,GAEMI
WP082017,0.0,0.0,0.0,0,2017,SONCA
WP082014,0.0,0.0,0.0,0,2014,NEOGURI
WP082008,0.0,0.0,0.0,0,2008,KALMAEGI
WP172020,0.0,0.0,0.0,0,2020,LINFA
WP172007,0.0,0.0,0.0,0,2007,KROSA
WP172013,0.0,0.0,0.0,0,2013,USAGI
WP182003,0.0,0.0,0.0,0,2003,UNNAMED
WP082007,0.0,0.0,0.0,0,2007,WUTIP
WP072020,0.0,0.0,0.0,0,2020,MEKKHALA
WP072021,0.0,0.0,0.0,0,2021,UNNAMED
WP072018,0.0,0.0,0.0,0,2018,UNNAMED
WP162015,0.0,0.0,0.0,0,2015,GONI
WP162016,0.0,0.0,0.0,0,2016,MERANTI
WP072014,0.0,0.0,0.0,0,2014,HAGIBIS
WP232019,0.0,0.0,0.0,0,2019,BULBUL:MATMO
WP232000,0.0,0.0,0.0,0,2000,WUKONG
WP222016,0.0,0.0,0.0,0,2016,AERE
WP222017,0.0,0.0,0.0,0,2017,UNNAMED
WP222009,0.0,0.0,0.0,0,2009,LUPIT
WP222005,0.0,0.0,0.0,0,2005,KAI-TAK
WP212019,0.0,0.0,0.0,0,2019,NEOGURI
WP212021,0.0,0.0,0.0,0,2021,DIANMU
WP072009,0.0,0.0,0.0,0,2009,MOLAVE
WP072010,0.0,0.0,0.0,0,2010,LIONROCK
WP212012,0.0,0.0,0.0,0,2012,GAEMI
WP072011,0.0,0.0,0.0,0,2011,MEARI
WP072007,0.0,0.0,0.0,0,2007,PABUK
WP072001,0.0,0.0,0.0,0,2001,TRAMI
WP072002,0.0,0.0,0.0,0,2002,NOGURI
WP072003,0.0,0.0,0.0,0,2003,SOUDELOR
WP192019,0.0,0.0,0.0,0,2019,MITAG
WP192021,0.0,0.0,0.0,0,2021,CHANTHU
WP192017,0.0,0.0,0.0,0,2017,GUCHOL
WP062019,0.0,0.0,0.0,0,2019,DANAS
