storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP012002,TAPAH,2002,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,158
WP292001,UNNAMED,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,159
WP282001,UNNAMED,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,160
WP272001,LINGLING,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,161
WP232001,LEKIMA,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,162
WP182001,FITOW,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,163
WP132001,USAGI,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,164
WP112001,TORAJI,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,165
WP072001,TRAMI,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,166
WP042019,UNNAMED,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,167
WP032019,UNNAMED,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,168
WP012019,UNNAMED,2019,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,169
WP352018,UNNAMED,2018,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,170
WP202013,WUTIP,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,171
