storm_id,expected_pop_affected,expected_infra_loss,expected_network_loss,expected_composite_consequence,mean_p_fail,max_p_fail,n_buses_with_pfail_20,n_buses_with_pfail_50,n_buses_with_pfail_80,storm_name,year,rank,impact_score,rank_functional,rank_shift_functional
WP022005,22349217.293746773,5.212315982720659,3.588654021675122,5.237117462531712,0.018690906362891262,0.10315434415507069,0,0,0,ROKE,2005,36,2.875016513376612,37,-1
WP052008,22203843.562516518,5.159270725230581,3.493075708102064,5.1858269922747935,0.018193102646364916,0.14907440609181358,0,0,0,HALONG,2008,40,2.5437853025680197,38,2
WP222006,21525096.8375774,5.152800841240733,3.5402486761176943,5.176589858031986,0.01843879518811299,0.20094220419351508,1,0,0,CIMARON,2006,43,2.238964788719342,39,4
WP242003,20897697.936603818,5.116299332881025,3.5170659536956554,5.151116069081473,0.01831805184216487,0.5231332304478132,1,1,0,MELOR,2003,77,1.1237051523854071,40,37
WP212017,26020965.32040766,5.058885887654907,3.2899386386894127,5.09287709930128,0.017135097076507358,0.07580510886930528,0,0,0,DOKSURI,2017,29,3.365700211794697,41,-12
WP292013,20443182.470695786,5.038821713461306,3.4584735518609095,5.0599134143706905,0.018012883082608903,0.2881020498610821,1,0,0,KROSA,2013,67,1.2486803985976305,42,25
WP052011,24547390.459926434,4.984719700072324,3.2752878213933525,5.0133878431067505,0.01705879073642371,0.060994942557064724,0,0,0,SARIKA,2011,32,3.0903632278214097,43,-11
WP262018,20542069.435920127,4.990668091793685,3.451899393444408,5.01154034857985,0.017978642674189627,0.210026135479426,1,0,0,MANGKHUT,2018,63,1.3645460554314521,44,19
WP272001,22103919.567204088,4.968257660116944,3.3964845333227074,4.989904736384814,0.017690023611055768,0.05764264965436872,0,0,0,LINGLING,2001,37,2.790104769491468,45,-8
WP182002,27126286.586268667,4.912803083348104,3.1556850036569557,4.951681559396063,0.016435859394046643,0.03813337661823045,0,0,0,UNNAMED,2002,34,3.0474267814333587,46,-12
WP082004,21957883.42451729,4.898465624678988,3.3516115898687984,4.921201660973815,0.017456310363899993,0.115132149978196,0,0,0,CHANTHU,2004,42,2.272640290570109,47,-5
WP052003,21929025.41474849,4.846526491083081,3.2716687102212694,4.870065126283933,0.01703994119906911,0.08613659281144141,0,0,0,LINFA,2003,48,2.0203343450808844,48,0
WP242016,21793038.630138297,4.813963227349852,3.242123777773158,4.835807745938277,0.016886061342568533,0.07555419387228329,0,0,0,SARIKA,2016,46,2.0749032413624606,49,-3
WP082003,21124903.254477352,4.807333977796171,3.285229776682876,4.82761036454878,0.017110571753556646,0.09846968902211531,0,0,0,KONI,2003,50,1.8772840630152274,50,0
WP232014,21363960.477683786,4.784395712258298,3.274435566207493,4.804217581304063,0.017054351907330692,0.0532257311314607,0,0,0,JANGMI,2014,44,2.20686207313071,51,-7
WP292019,21665348.378792454,4.766134278819445,3.199102188276701,4.788939045223972,0.01666199056394115,0.14454562982874372,0,0,0,KAMMURI,2019,54,1.7634308116519206,52,2
WP332017,20899815.902338948,4.7548735457540525,3.2718236883038894,4.774471054169572,0.017040748376582756,0.12997554940153042,0,0,0,TEMBIN,2017,56,1.7344722101830217,53,3
WP272019,21303462.739584774,4.752114086063574,3.2162172722721407,4.772185340195391,0.0167511316264174,0.057602286510712516,0,0,0,KALMAEGI,2019,47,2.0248046513087243,54,-7
WP092003,20758316.51576928,4.729518257310403,3.2052747219469424,4.751230577124448,0.016694139176806993,0.18825329198983828,0,0,0,IMBUDO,2003,69,1.247070966067266,55,14
WP332000,20793672.48707219,4.725039586146602,3.222704033918969,4.744552293868478,0.016784916843327963,0.11349030102995646,0,0,0,RUMBIA,2000,58,1.6148765508673262,56,2
WP012017,21641630.856274784,4.70604140305641,3.1924049627065294,4.726934308093,0.016627109180763173,0.04836690526117111,0,0,0,UNNAMED,2017,52,1.8454060415012157,57,-5
WP302001,21187732.532092594,4.676453501070255,3.1760641943422603,4.695927538500093,0.016542001012199273,0.04936098024070738,0,0,0,KAJIKI,2001,49,1.885399524502548,58,-9
WP022006,21871991.722027235,4.638887083910644,3.0974488004882432,4.660185948446837,0.016132545835876266,0.043089734833085015,0,0,0,CHANCHU,2006,53,1.8381797015013135,59,-6
WP232011,21387481.918620277,4.636340813810017,3.141586321943616,4.656150843725813,0.016362428760123,0.04535316347004432,0,0,0,BANYAN,2011,55,1.7560848754608334,60,-5
WP042021,22031244.65270682,4.616219644606091,3.0742595422234413,4.637828384557953,0.016011768449080425,0.0337105602269157,0,0,0,CHOI-WAN,2021,51,1.8471028407613963,61,-10
WP102022,20350373.608755615,4.616601927172687,3.1342580278552146,4.636168306952041,0.01632426056174591,0.17869667363998568,0,0,0,MA-ON,2022,89,0.9145604028258109,62,27
WP032002,20862229.064634986,4.612999995942902,3.1416352351896317,4.631861645125203,0.016362683516612665,0.08511450895581271,0,0,0,UNNAMED,2002,57,1.6504340141529148,63,-6
